,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
303,51.06.04.2044,Kutuh,Kintamani,Bangli,Bali,94.70,0.35,0.24,4.71,94.38,0.36,0.33,4.92,94.57,0.30,0.32,4.81,94.23,0.32,0.35,5.11,100.00,0.00,0.00,0.00,99.54,0.39,0.03,0.02,0.01
304,51.02.07.2006,Kuwum,Marga,Tabanan,Bali,91.62,3.52,1.25,3.61,90.65,3.77,1.50,4.08,91.21,3.71,1.34,3.74,89.75,4.08,1.87,4.30,100.00,0.00,0.00,0.00,99.57,0.37,0.02,0.02,0.01
305,51.03.02.2020,Kuwun,Mengwi,Badung,Bali,95.43,2.13,0.93,1.51,94.58,2.56,1.03,1.83,94.95,2.41,0.95,1.68,94.22,2.46,1.13,2.18,100.00,0.00,0.00,0.00,99.40,0.50,0.04,0.04,0.03
306,51.07.05.2011,Laba Sari,Abang,Karangasem,Bali,93.42,2.07,1.59,2.92,92.61,2.40,1.75,3.24,92.75,2.46,1.69,3.09,91.58,2.48,2.23,3.70,95.37,3.70,0.00,0.93,99.22,0.66,0.06,0.04,0.02
307,51.07.02.2009,Lokasari,Sidemen,Karangasem,Bali,88.55,2.33,1.49,7.64,84.22,2.20,1.92,11.66,86.78,2.49,1.77,8.97,80.55,3.02,2.25,14.17,100.00,0.00,0.00,0.00,99.66,0.30,0.02,0.01,0.01
308,51.02.03.2003,Lalanglinggah,Selemadeg Barat,Tabanan,Bali,89.13,1.98,1.57,7.32,88.47,1.92,1.58,8.03,88.74,2.03,1.59,7.65,88.00,1.78,1.71,8.51,74.14,7.98,2.09,15.78,99.78,0.20,0.01,0.01,0.00
309,51.06.02.2009,Landih,Bangli,Bangli,Bali,92.75,1.18,1.12,4.96,92.09,1.16,1.19,5.56,92.48,1.12,1.17,5.22,91.59,1.16,1.19,6.06,100.00,0.00,0.00,0.00,99.58,0.37,0.02,0.01,0.01
310,51.06.04.2005,Langgahan,Kintamani,Bangli,Bali,87.76,0.75,0.73,10.76,86.11,0.98,0.64,12.27,86.97,0.73,0.56,11.74,85.10,0.81,0.70,13.39,100.00,0.00,0.00,0.00,99.71,0.27,0.01,0.01,0.00
311,51.04.03.2004,Lebih,Gianyar,Gianyar,Bali,89.81,4.64,2.52,3.02,87.33,5.77,3.42,3.48,89.02,4.98,2.79,3.22,86.40,5.87,3.78,3.95,53.62,13.04,1.45,31.88,99.42,0.49,0.03,0.03,0.03
312,51.03.01.1004,Legian,Kuta,Badung,Bali,63.91,12.45,12.04,11.60,58.75,10.53,11.17,19.55,62.43,12.04,11.60,13.93,55.67,9.17,10.82,24.34,0.00,0.00,0.00,100.00,99.36,0.55,0.04,0.03,0.02
313,51.01.01.1013,Lelateng,Negara,Jembrana,Bali,52.85,16.48,21.30,9.37,49.50,11.55,17.05,21.89,51.41,13.91,20.46,14.22,47.67,9.29,13.18,29.86,4.42,44.75,33.15,17.68,99.35,0.53,0.05,0.04,0.03
314,51.06.04.2006,Lembean,Kintamani,Bangli,Bali,93.96,0.58,0.61,4.85,93.71,0.74,0.63,4.92,93.75,0.67,0.61,4.97,93.39,0.70,0.65,5.26,100.00,0.00,0.00,0.00,99.68,0.27,0.02,0.02,0.01
315,51.05.01.2012,Lembongan,Nusa Penida,Klungkung,Bali,94.30,1.70,1.07,2.94,93.64,1.97,1.09,3.30,93.99,1.83,1.07,3.12,93.24,1.94,1.32,3.50,32.53,25.90,10.84,30.72,99.42,0.47,0.04,0.04,0.03
316,51.08.07.2001,Lemukih,Sawan,Buleleng,Bali,95.36,0.65,0.42,3.56,94.61,0.73,0.57,4.09,94.88,0.68,0.56,3.88,94.21,0.72,0.68,4.39,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.01,0.00
317,51.08.09.2007,Les,Tejakula,Buleleng,Bali,94.47,0.89,0.65,3.99,92.74,1.26,0.83,5.17,94.16,0.83,0.55,4.46,92.81,1.29,0.64,5.27,91.71,8.29,0.00,0.00,99.59,0.36,0.02,0.02,0.01
318,51.08.06.1011,Liligundi,Buleleng,Buleleng,Bali,84.80,3.96,4.85,6.39,82.60,3.96,4.63,8.81,83.70,3.74,4.19,8.37,79.30,5.29,3.52,11.89,100.00,0.00,0.00,0.00,99.49,0.42,0.04,0.03,0.02
319,51.04.05.2001,Lodtunduh,Ubud,Gianyar,Bali,90.55,3.84,1.40,4.21,88.84,4.53,1.77,4.87,89.78,4.18,1.61,4.42,87.74,5.13,1.85,5.28,100.00,0.00,0.00,0.00,99.39,0.49,0.04,0.04,0.03
320,51.08.02.2017,Lokapaksa,Seririt,Buleleng,Bali,85.19,4.73,1.99,8.09,83.61,5.03,2.69,8.67,84.43,4.82,2.32,8.43,82.54,5.19,3.11,9.16,98.30,1.70,0.00,0.00,99.69,0.25,0.02,0.02,0.01
321,51.01.01.1014,Loloan Barat,Negara,Jembrana,Bali,85.16,3.85,1.10,9.89,80.49,7.69,1.65,10.16,82.69,6.32,0.82,10.16,77.75,9.62,2.47,10.16,11.11,88.89,0.00,0.00,99.35,0.54,0.04,0.04,0.03
322,51.01.05.1003,Loloan Timur,Jembrana,Jembrana,Bali,47.33,23.87,24.13,4.66,40.95,18.76,22.29,18.01,44.41,21.77,24.72,9.10,36.44,16.20,17.91,29.45,0.00,50.70,29.58,19.72,99.40,0.49,0.04,0.04,0.03
323,51.03.02.1016,Lukluk,Mengwi,Badung,Bali,80.38,7.64,5.84,6.14,78.28,8.05,6.40,7.27,79.54,7.72,6.23,6.51,77.53,8.00,6.77,7.70,100.00,0.00,0.00,0.00,99.44,0.44,0.05,0.05,0.03
324,51.02.03.2005,Lumbung,Selemadeg Barat,Tabanan,Bali,93.03,1.23,0.92,4.82,92.59,1.41,0.94,5.06,92.86,1.27,0.92,4.95,92.23,1.53,1.00,5.24,99.47,0.53,0.00,0.00,99.61,0.32,0.02,0.02,0.02
325,51.02.03.2006,Lumbung Kauh,Selemadeg Barat,Tabanan,Bali,88.95,0.78,0.76,9.51,88.57,0.78,0.77,9.88,88.74,0.78,0.78,9.70,88.39,0.78,0.74,10.09,100.00,0.00,0.00,0.00,99.71,0.24,0.02,0.02,0.01
326,51.02.09.2002,Luwus,Baturiti,Tabanan,Bali,92.67,2.58,1.37,3.38,92.00,2.83,1.41,3.76,92.40,2.74,1.38,3.49,91.03,3.01,1.61,4.35,100.00,0.00,0.00,0.00,99.45,0.39,0.05,0.06,0.05
327,51.07.06.2008,Macang,Bebandem,Karangasem,Bali,89.92,1.70,1.49,6.89,89.00,1.74,1.87,7.39,89.50,1.83,1.58,7.10,88.55,1.91,1.91,7.63,100.00,0.00,0.00,0.00,99.69,0.27,0.02,0.01,0.01
328,51.08.09.2004,Madenan,Tejakula,Buleleng,Bali,94.33,0.51,0.44,4.72,94.10,0.51,0.47,4.93,94.19,0.54,0.46,4.81,93.92,0.48,0.48,5.12,100.00,0.00,0.00,0.00,99.49,0.43,0.04,0.03,0.02
329,51.03.03.2007,Mambal,Abiansemal,Badung,Bali,84.28,3.42,2.68,9.62,82.53,3.44,2.93,11.09,83.57,3.44,2.39,10.60,81.18,3.15,2.90,12.77,100.00,0.00,0.00,0.00,99.35,0.52,0.05,0.05,0.03
330,51.02.02.2004,Mambang,Selemadeg Timur,Tabanan,Bali,89.92,2.51,1.71,5.86,89.04,2.80,2.00,6.16,89.50,2.65,1.93,5.92,88.57,2.83,2.10,6.50,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
331,51.05.03.2015,Manduang,Klungkung,Klungkung,Bali,85.77,3.30,3.11,7.82,83.45,3.84,3.37,9.34,84.82,3.40,3.26,8.51,82.40,4.31,2.97,10.32,100.00,0.00,0.00,0.00,99.51,0.40,0.03,0.03,0.02
332,51.07.03.2004,Manggis,Manggis,Karangasem,Bali,86.93,3.93,2.86,6.28,85.42,4.20,3.16,7.21,86.47,4.09,2.88,6.56,84.96,4.33,3.19,7.52,86.94,6.12,2.86,4.08,99.70,0.27,0.02,0.01,0.00
333,51.01.03.2007,Manggissari,Pekutatan,Jembrana,Bali,89.37,0.73,0.63,9.26,89.11,0.70,0.73,9.46,89.26,0.69,0.69,9.36,88.75,0.78,0.73,9.74,100.00,0.00,0.00,0.00,99.58,0.35,0.02,0.02,0.02
334,51.06.04.2009,Mangguh,Kintamani,Bangli,Bali,88.82,1.06,0.80,9.31,87.84,0.66,0.91,10.59,88.20,1.02,0.84,9.93,87.33,0.80,0.77,11.10,100.00,0.00,0.00,0.00,99.66,0.30,0.02,0.01,0.01
335,51.06.04.2007,Manikliyu,Kintamani,Bangli,Bali,91.93,1.28,0.87,5.91,91.42,1.16,1.10,6.32,91.66,1.16,1.00,6.19,90.95,1.16,0.98,6.91,100.00,0.00,0.00,0.00,99.60,0.36,0.02,0.01,0.01
336,51.02.01.2009,Manikyang,Selemadeg,Tabanan,Bali,92.80,1.46,1.75,3.99,91.80,2.15,1.38,4.67,92.20,1.84,1.66,4.30,90.71,2.09,1.63,5.56,100.00,0.00,0.00,0.00,99.46,0.48,0.03,0.02,0.01
337,51.01.04.2010,Manistutu,Melaya,Jembrana,Bali,87.90,2.69,2.34,7.07,86.91,2.81,2.49,7.79,87.42,2.72,2.42,7.44,86.23,2.84,2.44,8.48,100.00,0.00,0.00,0.00,99.63,0.30,0.02,0.02,0.03
338,51.04.04.2004,Manukaya,Tampaksiring,Gianyar,Bali,93.36,1.06,0.71,4.87,92.88,0.94,0.79,5.39,93.15,1.01,0.77,5.07,92.63,0.87,0.90,5.60,100.00,0.00,0.00,0.00,99.61,0.36,0.01,0.01,0.00
339,51.02.07.2008,Marga,Marga,Tabanan,Bali,93.07,2.10,1.14,3.70,92.23,2.29,1.10,4.38,92.53,2.44,1.14,3.89,91.20,3.16,1.07,4.57,100.00,0.00,0.00,0.00,99.44,0.48,0.04,0.03,0.02
340,51.02.07.2013,Marga Dajan Puri,Marga,Tabanan,Bali,92.43,1.28,0.75,5.54,91.90,1.71,0.32,6.08,92.22,1.39,0.64,5.76,91.58,1.49,0.75,6.18,100.00,0.00,0.00,0.00,99.50,0.42,0.03,0.03,0.02
341,51.02.07.2014,Marga Dauh Puri,Marga,Tabanan,Bali,89.20,2.59,2.36,5.85,88.35,2.71,2.25,6.70,89.16,2.56,2.13,6.16,86.99,3.37,2.36,7.28,100.00,0.00,0.00,0.00,99.34,0.57,0.04,0.03,0.02
342,51.04.05.2002,Mas,Ubud,Gianyar,Bali,89.20,4.49,2.13,4.18,87.72,5.21,2.42,4.65,88.49,4.89,2.22,4.40,87.47,5.44,2.36,4.73,100.00,0.00,0.00,0.00,99.45,0.43,0.05,0.04,0.03
343,51.08.02.2005,Mayong,Seririt,Buleleng,Bali,90.64,0.81,0.90,7.65,90.06,0.96,0.88,8.10,90.30,1.01,0.79,7.90,89.81,1.03,0.62,8.55,100.00,0.00,0.00,0.00,99.66,0.30,0.02,0.01,0.01
344,51.04.02.2008,Medahan,Blahbatuh,Gianyar,Bali,89.72,5.14,2.19,2.96,88.38,5.93,2.52,3.16,89.34,5.37,2.25,3.04,87.16,6.64,2.66,3.54,34.21,13.16,5.26,47.37,99.41,0.49,0.04,0.04,0.02
345,51.01.03.2001,Medewi,Pekutatan,Jembrana,Bali,89.33,1.56,1.53,7.57,88.70,1.66,1.50,8.14,88.98,1.66,1.53,7.84,88.34,1.63,1.51,8.52,98.58,0.88,0.18,0.35,99.74,0.23,0.02,0.01,0.01
346,51.02.02.2005,Megati,Selemadeg Timur,Tabanan,Bali,90.15,2.66,2.15,5.04,89.48,2.71,2.20,5.61,89.86,2.68,2.11,5.34,88.94,2.91,2.28,5.87,100.00,0.00,0.00,0.00,99.42,0.45,0.05,0.04,0.03
347,51.03.03.2015,Mekar Bhuwana,Abiansemal,Badung,Bali,89.65,4.29,2.37,3.68,88.59,4.41,2.93,4.07,89.15,4.24,2.79,3.82,88.20,4.41,3.10,4.29,100.00,0.00,0.00,0.00,99.39,0.52,0.03,0.03,0.03
348,51.02.09.2009,Mekarsari,Baturiti,Tabanan,Bali,93.02,1.40,1.14,4.45,92.47,1.46,1.12,4.94,92.73,1.28,1.25,4.74,92.09,1.59,1.03,5.30,100.00,0.00,0.00,0.00,99.57,0.37,0.03,0.02,0.01
349,51.01.04.2002,Melaya,Melaya,Jembrana,Bali,86.30,3.80,2.98,6.92,84.35,4.09,3.27,8.29,85.68,3.83,3.09,7.41,83.13,4.25,3.51,9.11,84.42,9.08,3.03,3.48,99.59,0.33,0.03,0.03,0.02
350,51.02.04.2011,Meliling,Kerambitan,Tabanan,Bali,89.41,2.53,1.39,6.67,88.60,2.72,1.65,7.03,89.05,2.69,1.39,6.87,88.40,2.46,1.91,7.22,100.00,0.00,0.00,0.00,99.51,0.43,0.03,0.02,0.02
351,51.04.07.2001,Melinggih,Payangan,Gianyar,Bali,90.92,2.28,0.97,5.83,90.06,2.45,1.05,6.44,90.50,2.39,0.99,6.12,89.21,2.64,1.54,6.61,100.00,0.00,0.00,0.00,99.46,0.48,0.02,0.02,0.01
352,51.04.07.2007,Melinggih Kelod,Payangan,Gianyar,Bali,92.50,1.29,1.07,5.13,91.36,1.49,1.40,5.75,91.99,1.49,1.07,5.44,90.79,1.56,1.29,6.36,100.00,0.00,0.00,0.00,99.26,0.62,0.06,0.04,0.02
353,51.07.01.2003,Menanga,Rendang,Karangasem,Bali,86.99,1.28,1.02,10.72,85.94,1.43,1.10,11.53,86.58,1.28,1.11,11.03,85.20,1.51,1.25,12.04,100.00,0.00,0.00,0.00,99.58,0.38,0.02,0.01,0.01
354,51.01.02.2003,Mendoyo Dangin Tukad,Mendoyo,Jembrana,Bali,66.57,30.12,0.88,2.43,61.22,34.92,1.31,2.55,64.53,31.99,0.96,2.53,57.02,36.15,3.97,2.85,29.67,27.47,16.48,26.37,99.39,0.51,0.04,0.04,0.03
355,51.01.02.2001,Mendoyo Dauh Tukad,Mendoyo,Jembrana,Bali,82.51,7.12,3.50,6.87,81.29,5.45,4.51,8.74,81.74,6.29,4.19,7.79,79.96,5.30,4.48,10.26,100.00,0.00,0.00,0.00,99.54,0.40,0.03,0.02,0.01
356,51.06.04.2001,Mengani,Kintamani,Bangli,Bali,86.50,0.79,0.65,12.06,85.17,0.65,0.70,13.48,85.68,0.70,0.63,12.99,84.13,0.51,0.80,14.55,100.00,0.00,0.00,0.00,99.70,0.28,0.01,0.00,0.00
357,51.08.08.2013,Mengening,Kubutambahan,Buleleng,Bali,93.23,0.65,0.58,5.54,91.97,0.65,0.64,6.74,92.46,0.64,0.64,6.26,91.51,0.78,0.67,7.04,100.00,0.00,0.00,0.00,99.66,0.31,0.02,0.01,0.01
358,51.02.08.2009,Mengesta,Penebel,Tabanan,Bali,90.24,1.53,1.48,6.75,89.49,1.75,1.34,7.42,89.90,1.65,1.45,7.00,89.11,1.95,1.37,7.56,100.00,0.00,0.00,0.00,99.70,0.24,0.03,0.02,0.01
359,51.03.02.2009,Mengwi,Mengwi,Badung,Bali,84.48,3.83,4.86,6.83,83.20,3.91,4.36,8.52,83.66,3.95,4.57,7.82,82.83,3.91,4.36,8.89,100.00,0.00,0.00,0.00,99.41,0.50,0.04,0.03,0.02
360,51.03.02.2003,Mengwitani,Mengwi,Badung,Bali,86.74,6.59,3.51,3.16,85.48,6.22,4.65,3.65,86.12,6.53,3.99,3.36,84.87,6.49,4.81,3.83,100.00,0.00,0.00,0.00,99.41,0.50,0.03,0.03,0.03
361,51.08.07.2007,Menyali,Sawan,Buleleng,Bali,91.10,1.66,1.42,5.82,90.70,1.64,1.64,6.01,90.86,1.68,1.53,5.93,90.07,1.66,1.51,6.76,100.00,0.00,0.00,0.00,99.64,0.31,0.02,0.02,0.01
362,51.07.07.2001,Muncan,Selat,Karangasem,Bali,92.51,1.15,1.04,5.30,91.79,1.36,1.06,5.79,92.23,1.19,1.06,5.52,91.25,1.41,1.19,6.15,100.00,0.00,0.00,0.00,99.57,0.39,0.02,0.01,0.01
363,51.02.03.2001,Mundeh,Selemadeg Barat,Tabanan,Bali,88.72,1.03,1.00,9.25,88.39,0.97,0.94,9.70,88.52,1.02,1.00,9.46,88.32,0.95,0.90,9.84,100.00,0.00,0.00,0.00,99.73,0.22,0.02,0.02,0.02
364,51.02.03.2002,Mundeh Kangin,Selemadeg Barat,Tabanan,Bali,89.45,1.01,0.76,8.77,89.11,0.96,0.85,9.07,89.28,1.02,0.75,8.95,88.89,0.91,0.90,9.30,100.00,0.00,0.00,0.00,99.81,0.16,0.01,0.01,0.00
365,51.02.03.2008,Mundeh Kauh,Selemadeg Barat,Tabanan,Bali,91.82,0.82,0.76,6.60,91.57,0.87,0.76,6.79,91.71,0.81,0.81,6.67,91.39,0.91,0.79,6.91,100.00,0.00,0.00,0.00,99.72,0.25,0.01,0.01,0.01
366,51.08.04.2006,Munduk,Banjar,Buleleng,Bali,87.83,4.26,1.51,6.41,87.54,0.80,4.67,6.99,87.67,4.10,1.40,6.83,87.22,0.88,4.46,7.44,100.00,0.00,0.00,0.00,99.69,0.27,0.02,0.01,0.01
367,51.08.02.2007,Munduk Bestala,Seririt,Buleleng,Bali,84.46,1.77,1.44,12.33,83.54,2.17,1.25,13.03,84.06,1.80,1.55,12.59,82.73,2.10,1.55,13.62,100.00,0.00,0.00,0.00,99.67,0.30,0.02,0.01,0.00
368,51.02.10.2005,Munduk Temu,Pupuan,Tabanan,Bali,87.76,1.73,1.64,8.88,87.18,1.67,1.68,9.46,87.48,1.67,1.70,9.15,86.60,1.73,1.62,10.05,100.00,0.00,0.00,0.00,99.73,0.25,0.01,0.01,0.00
369,51.03.02.2001,Munggu,Mengwi,Badung,Bali,87.60,6.73,3.57,2.10,86.37,7.27,3.65,2.72,87.04,6.96,3.52,2.49,85.93,7.16,4.01,2.90,38.64,17.61,6.82,36.93,99.43,0.48,0.04,0.03,0.02
370,51.08.01.2007,Musi,Gerokgak,Buleleng,Bali,92.24,2.80,1.56,3.40,89.58,3.98,2.50,3.93,91.31,3.27,1.82,3.60,89.61,3.97,2.37,4.05,99.29,0.71,0.00,0.00,99.80,0.18,0.01,0.00,0.00
371,51.08.06.2014,Nagasepaha,Buleleng,Buleleng,Bali,89.27,1.82,1.52,7.39,88.66,1.42,1.82,8.10,88.87,1.32,1.72,8.10,86.64,2.94,1.62,8.81,100.00,0.00,0.00,0.00,99.56,0.39,0.02,0.02,0.01
372,51.07.05.2012,Nawa Kerti,Abang,Karangasem,Bali,97.14,0.38,0.35,2.13,96.83,0.38,0.38,2.41,96.97,0.35,0.44,2.24,96.32,0.54,0.38,2.76,100.00,0.00,0.00,0.00,99.50,0.42,0.04,0.03,0.02
373,51.05.02.2001,Negari,Banjarangkan,Klungkung,Bali,88.27,3.62,3.79,4.33,86.69,3.74,3.95,5.62,87.81,3.16,4.08,4.95,85.57,4.20,3.95,6.28,35.85,18.87,3.77,41.51,99.47,0.46,0.02,0.02,0.02
374,51.07.03.2007,Ngis,Manggis,Karangasem,Bali,87.40,1.98,1.87,8.76,86.28,2.30,2.06,9.36,86.78,2.30,1.89,9.03,85.97,2.16,2.08,9.79,100.00,0.00,0.00,0.00,99.59,0.35,0.03,0.02,0.01
375,51.07.01.2001,Nongan,Rendang,Karangasem,Bali,90.74,0.78,0.74,7.74,89.85,0.80,0.62,8.73,90.31,0.78,0.61,8.31,89.45,0.71,0.66,9.19,100.00,0.00,0.00,0.00,99.69,0.27,0.02,0.02,0.01
376,51.01.04.2005,Nusasari,Melaya,Jembrana,Bali,83.62,6.13,4.00,6.25,81.80,5.95,4.44,7.81,82.98,5.90,4.17,6.94,80.36,5.84,4.80,9.00,93.81,4.29,0.95,0.95,99.68,0.28,0.02,0.02,0.01
377,51.05.02.2009,Nyalian,Banjarangkan,Klungkung,Bali,92.67,1.10,0.74,5.50,92.29,0.95,0.92,5.84,92.54,1.01,0.81,5.64,92.15,1.17,0.77,5.91,100.00,0.00,0.00,0.00,99.54,0.37,0.03,0.03,0.03
378,51.02.06.2008,Nyambu,Kediri,Tabanan,Bali,89.97,2.74,2.03,5.25,88.65,3.17,2.18,5.99,89.39,2.82,2.18,5.61,88.15,3.12,2.34,6.40,100.00,0.00,0.00,0.00,99.56,0.37,0.03,0.03,0.01
379,51.05.02.2012,Nyanglan,Banjarangkan,Klungkung,Bali,96.67,0.43,0.52,2.38,96.15,0.39,0.52,2.94,96.45,0.30,0.69,2.56,96.02,0.48,0.48,3.03,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.01,0.01
380,51.02.06.2011,Nyitdah,Kediri,Tabanan,Bali,90.34,4.69,2.08,2.90,87.72,5.91,2.84,3.52,89.51,4.80,2.39,3.30,85.39,7.33,2.84,4.43,100.00,0.00,0.00,0.00,99.48,0.45,0.03,0.03,0.02
381,51.07.03.2005,Nyuh Tebel,Manggis,Karangasem,Bali,76.03,4.81,5.32,13.84,74.49,4.81,5.38,15.33,75.00,4.41,5.43,15.16,72.20,5.38,5.26,17.16,85.00,5.00,2.50,7.50,99.40,0.50,0.04,0.03,0.03
382,51.08.09.2002,Pacung,Tejakula,Buleleng,Bali,97.57,0.90,0.43,1.10,95.44,1.66,0.85,2.05,97.12,1.13,0.48,1.27,96.16,1.56,0.76,1.52,91.91,8.09,0.00,0.00,99.47,0.45,0.03,0.03,0.01
383,51.07.04.1003,Padang Kerta,Karangasem,Karangasem,Bali,93.27,2.45,1.50,2.78,92.36,2.83,1.72,3.09,92.99,2.58,1.57,2.86,91.63,3.20,1.93,3.24,100.00,0.00,0.00,0.00,99.48,0.46,0.03,0.02,0.01
384,51.71.03.2011,Padangsambian Kaja,Denpasar Barat,Kota Denpasar,Bali,89.53,5.39,2.87,2.20,88.19,5.67,3.04,3.10,88.98,5.58,2.85,2.60,87.75,5.33,3.57,3.35,98.77,1.23,0.00,0.00,99.27,0.59,0.06,0.05,0.03
385,51.02.10.2009,Padangan,Pupuan,Tabanan,Bali,91.50,1.51,1.19,5.80,91.14,1.40,1.23,6.23,91.26,1.50,1.17,6.07,90.45,1.38,1.25,6.92,100.00,0.00,0.00,0.00,99.70,0.24,0.03,0.02,0.01
386,51.07.03.2009,Padangbai,Manggis,Karangasem,Bali,91.67,3.39,1.87,3.07,91.27,3.30,1.92,3.52,91.40,3.52,1.74,3.34,90.96,3.39,2.05,3.61,39.62,18.87,13.21,28.30,99.38,0.51,0.05,0.04,0.02
387,51.08.05.2008,Padangbulia,Sukasada,Buleleng,Bali,92.85,1.15,1.01,4.98,91.84,1.48,1.07,5.61,92.03,1.51,1.04,5.42,91.21,1.67,1.10,6.02,100.00,0.00,0.00,0.00,99.46,0.45,0.04,0.03,0.02
388,51.71.03.1010,Padangsambian,Denpasar Barat,Kota Denpasar,Bali,81.24,9.53,6.19,3.04,78.65,9.84,7.46,4.05,80.46,9.63,6.64,3.27,77.85,9.79,7.56,4.80,18.18,18.18,11.11,52.53,99.44,0.48,0.03,0.03,0.02
389,51.71.03.2001,Padangsambian Kelod,Denpasar Barat,Kota Denpasar,Bali,79.46,9.60,8.57,2.37,76.50,9.84,8.95,4.71,78.66,9.58,8.68,3.08,75.33,10.20,8.95,5.51,0.00,0.00,0.00,100.00,99.44,0.49,0.03,0.03,0.01
390,51.02.10.2012,Pajahan,Pupuan,Tabanan,Bali,87.10,1.35,1.29,10.26,86.65,1.30,1.27,10.78,86.80,1.39,1.25,10.56,86.21,1.37,1.27,11.15,100.00,0.00,0.00,0.00,99.74,0.22,0.02,0.01,0.01
391,51.08.06.1009,Paket Agung,Buleleng,Buleleng,Bali,89.60,3.08,1.70,5.63,89.38,2.02,1.27,7.32,88.85,2.65,2.02,6.48,86.62,2.12,2.23,9.02,100.00,0.00,0.00,0.00,99.56,0.37,0.03,0.03,0.01
392,51.08.08.2002,Pakisan,Kubutambahan,Buleleng,Bali,92.03,1.38,0.82,5.77,91.52,1.30,1.04,6.14,91.68,1.38,0.94,6.00,90.92,1.54,1.11,6.42,100.00,0.00,0.00,0.00,99.57,0.35,0.03,0.03,0.02
393,51.05.04.2001,Paksebali,Dawan,Klungkung,Bali,90.52,2.25,1.73,5.49,89.85,2.07,1.91,6.17,90.31,2.22,1.79,5.68,89.32,2.19,2.01,6.48,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
394,51.08.05.2001,Pancasari,Sukasada,Buleleng,Bali,75.85,15.12,2.98,6.05,75.08,2.43,15.51,6.99,75.40,14.53,3.52,6.56,74.42,2.28,15.37,7.94,100.00,0.00,0.00,0.00,99.63,0.31,0.02,0.02,0.01
395,51.02.06.2009,Pandak Bandung,Kediri,Tabanan,Bali,78.10,11.83,2.52,7.55,72.16,15.44,3.47,8.93,75.06,13.63,3.18,8.12,68.69,17.24,4.09,9.98,100.00,0.00,0.00,0.00,99.46,0.45,0.03,0.03,0.02
396,51.02.06.2010,Pandak Gede,Kediri,Tabanan,Bali,91.10,3.43,1.80,3.68,89.94,3.62,2.18,4.26,90.71,3.23,2.16,3.90,88.91,4.20,2.05,4.84,98.78,1.22,0.00,0.00,99.50,0.42,0.03,0.03,0.02
397,51.02.04.2007,Pangkung Karung,Kerambitan,Tabanan,Bali,89.96,2.20,2.08,5.76,88.70,2.74,2.17,6.39,89.51,2.38,2.11,6.00,88.28,2.65,2.38,6.69,100.00,0.00,0.00,0.00,99.49,0.42,0.04,0.03,0.02
398,51.02.06.2002,Pangkung Tibah,Kediri,Tabanan,Bali,84.31,5.49,3.99,6.22,82.60,5.14,4.76,7.50,83.51,5.31,4.58,6.60,82.50,5.35,4.69,7.47,6.06,7.58,6.06,80.30,99.49,0.41,0.04,0.03,0.02
399,51.08.02.2018,Pangkungparuk,Seririt,Buleleng,Bali,89.82,1.14,1.21,7.82,89.31,1.11,1.19,8.39,89.54,1.09,1.21,8.16,88.98,1.12,1.11,8.78,100.00,0.00,0.00,0.00,99.57,0.36,0.03,0.02,0.02
400,51.03.04.2006,Pangsan,Petang,Badung,Bali,92.16,1.43,0.87,5.54,91.17,1.43,0.95,6.46,91.45,1.60,0.81,6.14,90.16,1.84,1.17,6.83,100.00,0.00,0.00,0.00,99.68,0.30,0.01,0.01,0.00
401,51.01.03.2005,Pangyangan,Pekutatan,Jembrana,Bali,81.58,4.36,2.92,11.14,79.29,4.62,3.43,12.65,79.82,4.81,3.23,12.13,78.31,4.83,3.62,13.24,58.41,7.01,3.27,31.31,99.67,0.30,0.02,0.01,0.01
402,51.71.01.1004,Panjer,Denpasar Selatan,Kota Denpasar,Bali,71.54,21.02,6.64,0.81,67.38,23.07,8.27,1.28,70.13,21.82,7.08,0.97,65.60,23.76,9.08,1.55,0.00,0.00,0.00,100.00,99.31,0.54,0.05,0.05,0.04
403,51.08.05.2011,Panji,Sukasada,Buleleng,Bali,95.85,1.62,0.87,1.66,94.93,1.85,1.10,2.12,95.41,1.69,1.03,1.87,94.27,2.05,1.32,2.36,100.00,0.00,0.00,0.00,99.34,0.57,0.04,0.03,0.02
404,51.08.05.2012,Panji Anom,Sukasada,Buleleng,Bali,89.19,2.06,2.17,6.58,87.99,2.21,2.34,7.46,88.66,2.00,2.27,7.07,87.27,2.21,2.30,8.22,100.00,0.00,0.00,0.00,99.67,0.30,0.02,0.01,0.00
