,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
63,51.02.07.2004,Batannyuh,Marga,Tabanan,Bali,89.62,2.31,2.61,5.45,87.98,2.61,2.46,6.94,88.54,2.54,2.50,6.42,86.67,3.21,2.39,7.73,100.00,0.00,0.00,0.00,99.50,0.43,0.03,0.03,0.01
64,51.01.05.2004,Batu Agung,Jembrana,Jembrana,Bali,89.01,1.89,1.55,7.55,88.07,1.94,1.70,8.29,88.55,1.90,1.66,7.89,87.33,1.89,1.75,9.02,100.00,0.00,0.00,0.00,99.75,0.23,0.01,0.01,0.00
65,51.02.04.2013,Batuaji,Kerambitan,Tabanan,Bali,90.24,3.56,2.19,4.01,89.31,3.60,2.61,4.47,89.83,3.53,2.44,4.20,88.61,3.83,2.69,4.86,100.00,0.00,0.00,0.00,99.53,0.42,0.03,0.02,0.01
66,51.04.01.2007,Batuan,Sukawati,Gianyar,Bali,86.09,5.65,2.39,5.87,83.96,6.14,2.98,6.91,85.23,5.67,2.71,6.39,82.47,6.71,3.19,7.63,100.00,0.00,0.00,0.00,99.38,0.52,0.04,0.03,0.02
67,51.04.01.2012,Batuan Kaler,Sukawati,Gianyar,Bali,88.10,4.55,2.75,4.61,86.74,4.67,3.38,5.21,87.69,4.58,2.94,4.80,85.64,4.89,3.82,5.65,100.00,0.00,0.00,0.00,99.40,0.48,0.04,0.04,0.04
68,51.04.01.2001,Batubulan,Sukawati,Gianyar,Bali,84.68,6.13,3.81,5.37,82.12,7.15,4.13,6.60,83.79,6.57,3.86,5.78,79.87,7.76,4.65,7.72,48.77,2.96,1.97,46.31,99.47,0.46,0.03,0.02,0.01
69,51.04.01.2009,Batubulan Kangin,Sukawati,Gianyar,Bali,88.15,6.57,3.72,1.56,86.54,6.98,4.13,2.34,87.59,6.66,3.86,1.89,84.78,7.64,4.29,3.29,26.50,16.24,3.42,53.85,99.49,0.41,0.03,0.04,0.03
70,51.06.04.2022,Batudinding,Kintamani,Bangli,Bali,72.74,18.22,1.88,7.16,72.15,1.28,18.78,7.79,72.51,17.99,2.13,7.36,71.67,1.25,18.83,8.24,100.00,0.00,0.00,0.00,99.54,0.41,0.02,0.01,0.01
71,51.06.04.2035,Batukaang,Kintamani,Bangli,Bali,90.22,1.35,1.40,7.03,89.52,1.35,1.64,7.49,89.82,1.27,1.67,7.25,88.69,1.70,1.48,8.14,100.00,0.00,0.00,0.00,99.47,0.48,0.03,0.02,0.01
72,51.05.01.2004,Batukandik,Nusa Penida,Klungkung,Bali,93.46,1.37,1.11,4.06,92.94,1.45,1.13,4.48,93.15,1.43,1.14,4.29,92.43,1.58,1.14,4.86,96.62,2.35,0.29,0.74,99.41,0.43,0.05,0.06,0.06
73,51.05.01.2002,Batumadeg,Nusa Penida,Klungkung,Bali,92.19,1.67,1.16,4.98,91.77,1.53,1.38,5.32,91.96,1.56,1.28,5.21,91.21,1.66,1.36,5.77,95.47,4.53,0.00,0.00,99.49,0.41,0.03,0.03,0.04
74,51.02.10.2003,Batungsel,Pupuan,Tabanan,Bali,92.50,1.25,1.18,5.06,92.17,1.22,1.25,5.36,92.33,1.25,1.23,5.19,91.92,1.21,1.27,5.61,100.00,0.00,0.00,0.00,99.63,0.32,0.02,0.02,0.01
75,51.05.01.2008,Batununggul,Nusa Penida,Klungkung,Bali,95.25,2.41,0.91,1.43,94.50,2.60,1.11,1.78,94.74,2.54,1.04,1.68,93.96,2.55,1.46,2.03,71.57,18.14,4.90,5.39,99.47,0.46,0.03,0.02,0.01
76,51.02.09.2010,Batunya,Baturiti,Tabanan,Bali,88.99,2.46,0.98,7.57,88.22,2.55,0.86,8.37,88.32,2.56,0.89,8.24,87.77,1.31,2.20,8.72,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
77,51.06.04.2026,Batur Selatan,Kintamani,Bangli,Bali,85.50,2.89,2.35,9.26,83.99,2.76,2.47,10.78,84.78,2.85,2.50,9.87,83.02,2.76,2.36,11.86,100.00,0.00,0.00,0.00,99.58,0.40,0.01,0.01,0.00
78,51.06.04.2027,Batur Tengah,Kintamani,Bangli,Bali,67.47,22.97,3.16,6.41,67.00,1.73,24.19,7.08,67.27,22.25,3.80,6.67,66.71,1.83,23.79,7.67,100.00,0.00,0.00,0.00,99.19,0.70,0.05,0.04,0.02
79,51.06.04.2028,Batur Utara,Kintamani,Bangli,Bali,88.46,1.11,1.28,9.14,87.54,1.01,1.05,10.40,88.05,0.99,1.32,9.65,87.10,0.76,0.92,11.22,100.00,0.00,0.00,0.00,99.61,0.34,0.02,0.02,0.00
80,51.07.08.2008,Baturinggit,Kubu,Karangasem,Bali,94.94,1.48,1.07,2.51,94.00,1.83,1.20,2.97,94.24,1.68,1.16,2.92,92.58,1.72,1.41,4.30,98.51,1.49,0.00,0.00,99.51,0.40,0.03,0.04,0.03
81,51.02.04.2010,Baturiti,Kerambitan,Tabanan,Bali,88.93,2.82,2.00,6.25,88.25,2.85,2.22,6.68,88.72,2.94,1.88,6.46,87.87,2.78,2.33,7.02,100.00,0.00,0.00,0.00,99.49,0.44,0.02,0.02,0.02
82,51.02.09.2006,Baturiti,Baturiti,Tabanan,Bali,90.37,1.40,1.10,7.12,89.65,1.37,1.32,7.66,89.86,1.29,1.28,7.56,89.28,1.28,1.31,8.13,100.00,0.00,0.00,0.00,99.74,0.22,0.02,0.01,0.01
83,51.06.04.2008,Bayung Cerik,Kintamani,Bangli,Bali,88.68,0.82,0.68,9.82,87.97,0.71,0.91,10.41,88.31,0.82,0.79,10.07,87.40,0.88,0.82,10.89,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.01,0.01
84,51.06.04.2016,Bayung Gede,Kintamani,Bangli,Bali,93.17,1.75,1.27,3.81,92.67,1.79,1.28,4.26,92.99,1.71,1.34,3.96,92.24,1.86,1.44,4.46,100.00,0.00,0.00,0.00,99.58,0.39,0.01,0.01,0.01
85,51.06.02.1003,Bebalang,Bangli,Bangli,Bali,94.27,1.19,0.82,3.72,93.12,1.64,0.84,4.39,94.05,1.17,0.78,4.00,92.69,1.77,0.80,4.74,100.00,0.00,0.00,0.00,99.51,0.41,0.03,0.03,0.02
86,51.07.06.2003,Bebandem,Bebandem,Karangasem,Bali,95.15,1.53,0.88,2.43,94.45,1.63,1.06,2.85,94.99,1.45,1.00,2.56,93.94,1.77,1.24,3.06,100.00,0.00,0.00,0.00,99.55,0.39,0.03,0.02,0.01
87,51.08.07.2004,Bebetin,Sawan,Buleleng,Bali,86.16,2.26,2.11,9.46,85.20,2.48,2.15,10.16,85.55,2.44,2.14,9.87,84.58,2.33,2.29,10.80,100.00,0.00,0.00,0.00,99.67,0.30,0.02,0.01,0.00
88,51.04.02.2007,Bedulu,Blahbatuh,Gianyar,Bali,87.67,3.98,2.07,6.28,85.50,4.97,2.55,6.99,86.49,4.53,2.48,6.50,84.31,5.56,2.64,7.49,100.00,0.00,0.00,0.00,99.48,0.44,0.04,0.03,0.02
89,51.02.06.2003,Belalang,Kediri,Tabanan,Bali,89.63,5.34,2.48,2.55,88.02,6.19,2.84,2.95,89.20,5.58,2.58,2.65,87.26,6.76,2.98,3.00,59.79,7.22,5.15,27.84,99.46,0.44,0.03,0.03,0.04
90,51.06.04.2010,Belancan,Kintamani,Bangli,Bali,91.25,1.11,1.06,6.58,90.57,1.24,1.04,7.14,90.81,1.27,1.06,6.86,90.20,1.25,1.13,7.41,100.00,0.00,0.00,0.00,99.57,0.36,0.03,0.02,0.02
91,51.06.04.2048,Belandingan,Kintamani,Bangli,Bali,96.21,0.37,0.37,3.05,95.82,0.44,0.35,3.38,96.01,0.49,0.29,3.22,95.72,0.39,0.42,3.47,100.00,0.00,0.00,0.00,99.47,0.47,0.03,0.02,0.02
92,51.06.04.2034,Belanga,Kintamani,Bangli,Bali,92.13,0.95,1.36,5.56,91.80,1.28,1.08,5.84,91.91,1.08,1.03,5.98,91.58,1.14,1.08,6.20,100.00,0.00,0.00,0.00,99.72,0.26,0.01,0.01,0.00
93,51.06.04.2036,Belantih,Kintamani,Bangli,Bali,93.21,2.16,1.49,3.14,92.61,2.33,1.63,3.42,92.82,2.30,1.61,3.26,91.95,2.79,1.51,3.75,100.00,0.00,0.00,0.00,99.56,0.39,0.02,0.02,0.01
94,51.02.10.2011,Belatungan,Pupuan,Tabanan,Bali,91.40,0.97,0.79,6.84,91.03,0.92,0.84,7.21,91.25,0.86,0.87,7.02,90.81,0.93,0.86,7.40,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.02,0.01
95,51.04.02.2004,Belega,Blahbatuh,Gianyar,Bali,88.13,5.48,3.23,3.16,84.65,6.81,4.21,4.32,86.34,6.18,3.76,3.72,83.63,7.48,4.36,4.53,100.00,0.00,0.00,0.00,99.39,0.53,0.03,0.03,0.02
96,51.02.10.2001,Belimbing,Pupuan,Tabanan,Bali,89.33,1.64,1.49,7.54,88.79,1.63,1.49,8.08,89.08,1.61,1.52,7.80,88.47,1.53,1.56,8.44,100.00,0.00,0.00,0.00,99.76,0.19,0.02,0.02,0.01
97,51.01.04.2003,Belimbingsari,Melaya,Jembrana,Bali,89.44,3.09,2.32,5.15,88.22,3.42,2.50,5.87,88.96,3.24,2.36,5.45,87.64,3.52,2.58,6.26,100.00,0.00,0.00,0.00,99.70,0.24,0.02,0.02,0.01
98,51.03.04.2003,Belok/Sidan,Petang,Badung,Bali,89.89,0.68,0.75,8.67,89.41,0.69,0.77,9.13,89.63,0.69,0.74,8.94,88.97,0.62,0.78,9.63,100.00,0.00,0.00,0.00,99.60,0.36,0.02,0.01,0.00
