Climate Change,Regency/City,Province,Exposure,Model,Threshold (PML 25y),AAL,PML 10y,TVaR 10y,PML 25y,TVaR 25y,PML 50y,TVaR 50y,PML 100y,TVaR 100y,PML 250y,TVaR 250y
1,Gianyar,Bali,Rice Field in 2025,Pareto,505.329740251171,20.4030188926981,501.134157260862,505.787433721409,505.329740251171,510.075472317453,508.593403061451,513.367701601527,511.901349387097,516.623167146771,516.247207678832,521.035171209823
1,Jembrana,Bali,Rice Field in 2025,Pareto,210.549049179604,8.7324087929806,203.945370541463,211.378415387705,210.549049179604,218.310219824514,215.794060680708,223.743459482466,221.208056060277,229.215352319856,228.472390977422,236.783185894367
1,Klungkung,Bali,Rice Field in 2025,Pareto,95.1281587172579,3.8173631849141,94.8553102389046,95.1569150775069,95.1281587172579,95.434079622853,95.3393772019151,95.6458577011127,95.5525569711839,95.8543813482393,95.8312567122897,96.1356560343762
1,Buleleng,Bali,Rice Field in 2025,Pareto,419.64002993072,17.0227392978732,414.43384314767,420.222745589522,419.64002993072,425.56848244683,423.704723106917,429.68777641651,427.837827557474,433.774246556416,433.287963213363,439.332321992703
1,Tabanan,Bali,Rice Field in 2025,Pareto,776.015805464512,31.2477084321622,771.421292240043,776.509534560562,776.015805464512,781.192710804055,779.582201026227,784.780734826882,783.190274130526,788.322068408224,787.920249177888,793.111575912355
1,Karangasem,Bali,Rice Field in 2025,Pareto,255.552695707983,10.3313048540446,253.143652347903,255.817359864378,255.552695707983,258.282621351116,257.428527502111,260.177265416264,259.331483508972,262.052408021826,261.834059342608,264.596202299484
1,Badung,Bali,Rice Field in 2025,Pareto,417.561166693195,16.9293523606505,412.575811049183,418.117544391727,417.561166693195,423.233809016263,421.451817839757,427.17463830612,425.406501752598,431.082626495517,430.619152955589,436.395778379165
1,Bangli,Bali,Rice Field in 2025,Lognormal,90.6362641072889,3.6402661975452,90.2025504187733,90.6388250016855,90.6362641072889,91.006654938631,90.9140415037062,91.2513874008757,91.1626499480016,91.4763178613303,91.4622222850598,91.7494621645717
0,Denpasar City,Bali,Rice Field in 2028,Pareto,89.7131676493124,3.7464339543801,86.386767315955,90.145257959492,89.7131676493124,93.6608488595013,92.3690499709987,96.4307671039655,95.1230972751415,99.2332638766926,98.8380584203628,103.129036428582
0,Gianyar,Bali,Rice Field in 2028,Lognormal,378.195744572625,15.1781683157296,376.720475620108,378.20395488469,378.195744572625,379.454207893239,379.139912243034,380.285512740424,379.984481461623,381.049181235666,381.001618163416,381.976066341922
