Regency/City,Province,Exposure,Climate Change,CV,AAL,Lognormal_Mean,Lognormal_Median,VaR_95%,TVaR_95%,VaR_99%,TVaR_99%,PML_25,PML_50,PML_100,PML_250,Prob_Any_Loss (%),μ,σ
Gianyar,Bali,Educational Facilities,0,0.75,970760238.7,970760238.7,776608190.9,2330354952.0,16224655548.0,3674036571.0,92355372183.0,2501077571.0,3062348049.0,3674036571.0,4567146340.0,3.9239,20.47044652,0.668047231
Gianyar,Bali,Educational Facilities,0,0.85,971714106.5,971714106.5,740387183.4,2490175253.0,15895557828.0,4116055285.0,91726172019.0,2692298324.0,3366512875.0,4116055285.0,5233532975.0,3.9239,20.42268383,0.73741218
Gianyar,Bali,Educational Facilities,0,0.95,972645738.6,972645738.6,705167609.6,2637461133.0,15569159399.0,4555613449.0,91068025051.0,2871090897.0,3661020045.0,4555613449.0,5915535599.0,3.9239,20.37394608,0.801978061
Jembrana,Bali,Educational Facilities,0,0.15,1669826867.0,1669826867.0,1651352492.0,2110556181.0,31146693192.0,2336391244.0,164522000000.0,2144139161.0,2243293133.0,2336391244.0,2452711868.0,3.9239,21.22486048,0.14916638
Jembrana,Bali,Educational Facilities,0,0.25,1671462729.0,1671462729.0,1621557031.0,2431197152.0,30722770641.0,2875371164.0,164011000000.0,2495382259.0,2688711990.0,2875371164.0,3115473794.0,3.9239,21.20665265,0.246220677
Jembrana,Bali,Educational Facilities,0,0.35,1673147064.0,1673147064.0,1579213837.0,2762335745.0,30251806839.0,3482473773.0,163384000000.0,2863524340.0,3174264493.0,3482473773.0,3890230445.0,3.9239,21.18019299,0.339938731
Jembrana,Bali,Educational Facilities,0,0.45,1674856960.0,1674856960.0,1527338080.0,3095228463.0,29742088527.0,4147517329.0,162642000000.0,3239141853.0,3689349288.0,4147517329.0,4770169716.0,3.9239,21.14679224,0.429421382
Jembrana,Bali,Educational Facilities,0,0.55,1676571999.0,1676571999.0,1469039058.0,3421935864.0,29203313188.0,4857645230.0,161794000000.0,3613271238.0,4222444404.0,4857645230.0,5743123510.0,3.9239,21.10787432,0.51408705
Jembrana,Bali,Educational Facilities,0,0.65,1678275399.0,1678275399.0,1407139295.0,3736016681.0,28645419392.0,5598991539.0,160850000000.0,3978269877.0,4762435242.0,5598991539.0,6793390189.0,3.9239,21.06482461,0.593646264
Jembrana,Bali,Educational Facilities,0,0.75,1679954315.0,1679954315.0,1343963452.0,4032808207.0,28077664302.0,6358123608.0,159826000000.0,4328253147.0,5299562770.0,6358123608.0,7903699488.0,3.9239,21.01888889,0.668047231
Jembrana,Bali,Educational Facilities,0,0.85,1681599558.0,1681599558.0,1281276820.0,4309372044.0,27508052873.0,7123038249.0,158737000000.0,4659156064.0,5825917855.0,7123038249.0,9056888933.0,3.9239,20.97112293,0.73741218
Jembrana,Bali,Educational Facilities,0,0.95,1683205014.0,1683205014.0,1220322682.0,4564239196.0,26943095647.0,7883683745.0,157597000000.0,4968545485.0,6335551632.0,7883683745.0,10237087138.0,3.9239,20.92238115,0.801978061
Karangasem,Bali,Educational Facilities,0,0.15,376887343.3,376887343.3,372717594.8,476361907.7,7029947045.0,527333884.8,37133446830.0,483941735.4,506321227.5,527333884.8,553587966.5,3.9239,19.73633157,0.14916638
Karangasem,Bali,Educational Facilities,0,0.25,377257760.9,377257760.9,365993787.4,548733739.8,6934287831.0,648986105.6,37018156206.0,563220649.4,606856167.2,648986105.6,703178507.9,3.9239,19.71812692,0.246220677
Karangasem,Bali,Educational Facilities,0,0.35,377639000.4,377639000.4,356437726.2,623475205.5,6828008334.0,786014536.8,36876676627.0,646314058.6,716449914.2,786014536.8,878047583.7,3.9239,19.6916701,0.339938731
Karangasem,Bali,Educational Facilities,0,0.45,378025769.5,378025769.5,344729828.8,698612567.8,6712976793.0,936120795.7,36709371029.0,731094726.9,832709381.8,936120795.7,1076657363.0,3.9239,19.65827156,0.429421382
Karangasem,Bali,Educational Facilities,0,0.55,378413366.4,378413366.4,331571811.7,772353511.0,6591380543.0,1096402591.0,36517913380.0,815539167.8,953033572.3,1096402591.0,1296260884.0,3.9239,19.61935497,0.51408705
Karangasem,Bali,Educational Facilities,0,0.65,378797940.4,378797940.4,317600715.0,843243859.0,6465462029.0,1263729698.0,36304965875.0,897922019.5,1074913367.0,1263729698.0,1533313432.0,3.9239,19.57630554,0.593646264
